time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,DryYield,FreshYield,YieldPot
0.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,1.0,19.82,19.82,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,2.0,19.19,39.010000000000005,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,3.0,19.549999999999997,58.56,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,4.0,19.51,78.07000000000001,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,5.0,14.43,92.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,6.0,8.005,100.505,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,7.0,8.879999999999999,109.38499999999999,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,8.0,15.91,125.29499999999999,0.31429501214065503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,9.0,14.344999999999999,139.64,0.346665127763267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,10.0,15.49,155.13,0.3755580119871119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,11.0,16.965,172.095,0.4021130549386273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,12.0,14.605,186.7,0.42694236757877846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,13.0,18.42,205.12,0.4504227545269761,0.0675,0.07089058257723316,2.0679429573378343,2.1675499183044122,0.0,0.0,0.0,0.0,0.0
27.0,0.0,14.0,15.735,220.85500000000002,0.4728069623901052,0.07089058257723316,0.07089058257723316,4.2354928756422465,4.3350998366088245,0.0,0.0,0.0,0.0,0.0
28.0,0.0,15.0,16.64,237.495,0.4942749214356934,0.07445147700947427,0.07445147700947427,6.507223843231518,6.606830804198097,0.0,0.0,0.0,0.0,0.0
29.0,0.0,16.0,16.585,254.08,0.5149604655064015,0.07819123820647572,0.07819123820647572,8.88789712423828,8.98750408520486,0.0,0.0,0.0,0.0,0.0
30.0,0.0,17.0,15.76,269.84000000000003,0.5349665541690083,0.08211885079840409,0.08211885079840409,11.382466431976926,11.482073392943505,0.0,0.0,0.0,0.0,0.0
31.0,0.0,18.0,14.535,284.37500000000006,0.5543745425110247,0.08624375072106301,0.08624375072106301,13.99608308270478,14.09569004367136,0.0,0.0,0.0,0.0,0.0
32.0,0.0,19.0,16.82,301.19500000000005,0.5732501286304661,0.09034898189056213,0.09057584788536044,16.727602136480357,16.83370795158442,0.0,0.0,0.0,0.0,0.0
33.0,0.0,20.0,16.5,317.69500000000005,0.591647333453214,0.09453686952871587,0.09512554998548226,19.578806469974683,19.701688421528303,0.0,0.0,0.0,0.0,0.0
34.0,0.0,21.0,13.45,331.14500000000004,0.6096112577749204,0.09928553712471924,0.09990378750297112,22.482146456562567,22.62206156265497,0.0,0.0,0.0,0.0,0.0
35.0,0.0,22.0,9.76,340.90500000000003,0.6271800485626201,0.10427273434466455,0.10492203996678115,25.03579412623342,25.190644920379548,0.0,0.0,0.0,0.0,0.0
36.0,0.0,23.0,10.584999999999999,351.49,0.6443863364541177,0.10951044273502723,0.11019236353239786,27.901448204146792,28.073005478658803,0.0,0.0,0.0,0.0,0.0
37.0,0.0,24.0,12.559999999999999,364.05,0.6612583093351969,0.11501124568558238,0.11572741994628069,31.173213321702402,31.363779905207352,0.0,0.0,0.0,0.0,0.0
38.0,0.0,25.0,14.969999999999999,379.02,0.6778205291736723,0.12078835866050708,0.12154050696521408,34.761211967118555,34.97255070508062,0.0,0.0,0.0,0.0,0.0
39.0,0.0,26.0,13.85,392.87,0.6940945637535735,0.12685566094801679,0.12764559030364875,38.43394554487257,38.66646699491911,0.0,0.0,0.0,0.0,0.0
40.0,0.0,27.0,15.39,408.26,0.7100994823851419,0.13322772900481297,0.13405733718578494,42.363093887446375,42.61818716658562,0.0,0.0,0.0,0.0,0.0
41.0,0.0,28.0,14.125,422.385,0.7258522499423645,0.13991987147545087,0.14079115158300556,46.47368286118469,46.75229180011333,0.0,0.0,0.0,0.0,0.0
42.0,0.0,29.0,13.504999999999999,435.89,0.741368043740913,0.14694816597075996,0.14786321122131565,50.657703628981835,50.96014318822715,0.0,0.0,0.0,0.0,0.0
43.0,0.0,30.0,13.785,449.675,0.756660511053068,0.15432949769367588,0.15529050644769696,55.05159344366741,55.37894321550916,0.0,0.0,0.0,0.0,0.0
44.0,0.0,31.0,16.695,466.37,0.7717419803828091,0.16208160000528066,0.16309088104875288,59.75274343574852,60.106615554668885,0.0,0.0,0.0,0.0,0.0
45.0,0.0,32.0,14.66,481.03000000000003,0.7866236363155856,0.17022309702850996,0.17128307511970856,64.66692362432217,65.04837772610098,0.0,0.0,0.0,0.0,0.0
46.0,0.0,33.0,13.94,494.97,0.8013156653777367,0.17877354839188084,0.17988677008675746,69.69603043819916,70.10555908211522,0.0,0.0,0.0,0.0,0.0
47.0,0.0,34.0,10.915,505.88500000000005,0.8158273786044903,0.18775349622073503,0.18892263599091902,74.49161900575747,74.9277662713254,0.0,0.0,0.0,0.0,0.0
48.0,0.0,35.0,8.635,514.5200000000001,0.8301673152321857,0.1971845144888926,0.19841238114700452,78.44383324320819,78.90178638785996,0.0,0.0,0.0,0.0,0.0
49.0,0.0,36.0,8.690000000000001,523.2100000000002,0.844343330970244,0.207089260849281,0.2083788042969953,82.60788782533295,83.08867063702233,0.0,0.0,0.0,0.0,0.0
50.0,0.0,37.0,10.705,533.9150000000002,0.8583626735820209,0.21749153106806124,0.21884584938312965,87.99877911541297,88.5089213118035,0.0,0.0,0.0,0.0,0.0
51.0,0.0,38.0,11.565,545.4800000000002,0.8722320479484479,0.22841631619302613,0.22983866307228865,93.8869297805507,94.42891497545826,0.0,0.0,0.0,0.0,0.0
52.0,0.0,39.0,8.95,554.4300000000003,0.8859576723598747,0.23988986259361658,0.2413836551698807,98.81124576411585,99.37966521333989,0.0,0.0,0.0,0.0,0.0
53.0,0.0,40.0,7.74,562.1700000000003,0.899545327447879,0.25193973501679834,0.2535085620683674,102.92321292141024,103.51353448512359,0.0,0.0,0.0,0.0,0.0
54.0,0.0,41.0,8.85,571.0200000000003,0.9130003989068761,0.2645948828102901,0.26624251338286276,108.20055527188141,108.8187564999875,0.0,0.0,0.0,0.0,0.0
55.0,0.0,42.0,9.62,580.6400000000003,0.9263279149480832,0.27788570947224,0.2796161019338953,114.27056266991787,114.92055526702319,0.0,0.0,0.0,0.0,0.0
56.0,0.0,43.0,5.705,586.3450000000004,0.939532579263202,0.2918441456944422,0.29366145724546444,116.75040956012303,117.41327266305035,0.0,0.0,0.0,0.0,0.0
57.0,0.0,44.0,7.635,593.9800000000004,0.9526188001426078,0.3065037260745766,0.30841232273496627,121.48370781814079,122.17090301303566,0.0,0.0,0.0,0.0,0.0
58.0,0.0,45.0,9.815,603.7950000000004,0.9655907162857564,0.32186711332447315,0.3239041367804356,128.4805821966738,129.20396762461266,0.0,0.0,0.0,0.0,0.0
59.0,0.0,46.0,11.399999999999999,615.1950000000004,0.9784522197545098,0.33791449734103346,0.3401741178598651,136.60658762756083,137.37391535586235,0.0,0.0,0.0,0.0,0.0
60.0,0.0,47.0,11.48,626.6750000000004,0.9912069764489633,0.3547090253406249,0.3572613539671439,145.08690740784817,145.90303657147217,0.0,0.0,0.0,0.0,0.0
61.0,0.0,48.0,10.940000000000001,637.6150000000005,1.003858444426927,0.37216846392801356,0.3752068965194362,153.65988107399855,154.53133779763488,0.0,0.0,0.0,0.0,0.0
62.0,0.0,49.0,6.970000000000001,644.5850000000005,1.0164098903399448,0.39048173015027643,0.39405385898160683,158.4923200072295,159.39829845581932,0.0,0.0,0.0,0.0,0.0
63.0,0.0,50.0,5.255,649.8400000000005,1.0288644042186728,0.40974773733942144,0.41384752044463685,161.20172108152,162.12860051563035,0.0,0.0,0.0,0.0,0.0
64.0,0.0,51.0,5.5249999999999995,655.3650000000005,1.041224912807037,0.4300340841484955,0.43463543440686986,164.34891211048222,165.30140985344332,0.0,0.0,0.0,0.0,0.0
65.0,0.0,52.0,7.605,662.9700000000005,1.0534941916166103,0.4510835938751726,0.45646754301943426,170.72965434072205,171.73928785613083,0.0,0.0,0.0,0.0,0.0
66.0,0.0,53.0,6.7700000000000005,669.7400000000005,1.0656748758491186,0.4730707066855963,0.4792274735698536,176.00077651928282,177.06114026027663,0.0,0.0,0.0,0.0,0.0
67.0,0.0,54.0,5.115,674.8550000000005,1.0777694703151144,0.4951949189544095,0.5013037453304718,178.9415068808076,180.02832859924442,0.0,0.0,0.0,0.0,0.0
68.0,0.0,55.0,2.21,677.0650000000005,1.0897803584600154,0.5163821839391858,0.5223241445099857,179.53506972276716,180.62680829372866,0.0,0.0,0.0,0.0,0.0
69.0,0.0,56.0,4.220000000000001,681.2850000000005,1.1017098105943715,0.5366579537235802,0.542339171796175,181.5767689302826,182.68387798648217,0.0,0.0,0.0,0.0,0.0
70.0,0.0,57.0,3.46,684.7450000000006,1.1135599914129926,0.556022689741148,0.5613969125101251,182.9686420611666,184.0852091419347,0.0,0.0,0.0,0.0,0.0
71.0,0.0,58.0,3.8600000000000003,688.6050000000006,1.12533296687709,0.57448951491507,0.5795431521293319,184.74462356261031,185.872057058104,0.0,0.0,0.0,0.0,0.0
72.0,0.0,59.0,2.46,691.0650000000006,1.1370307105245743,0.5920937252137612,0.5968214862855226,185.52495708767734,186.65668128006368,0.0,0.0,0.0,0.0,0.0
73.0,0.0,60.0,4.02,695.0850000000006,1.1486551092658959,0.6083983865586156,0.6132734255014576,187.53581230722872,188.6785292955455,0.0,0.0,0.0,0.0,0.0
74.0,0.0,61.0,3.2,698.2850000000007,1.160207968716093,0.6240260499170439,0.6289384949183403,188.83174867555542,189.98136563351795,0.0,0.0,0.0,0.0,0.0
75.0,0.0,62.0,4.47,702.7550000000007,1.171691018107905,0.6388593510910696,0.643854329253424,191.44049867993562,192.60379996580184,0.0,0.0,0.0,0.0,0.0
76.0,0.0,63.0,4.57,707.3250000000007,1.1831059148257377,0.6531476957946181,0.65805676321595,194.21944330655816,195.39665281357279,0.0,0.0,0.0,0.0,0.0
77.0,0.0,64.0,2.79,710.1150000000007,1.194454248595866,0.6669558201645132,0.6715799175986366,195.27190244682157,196.45393714529092,0.0,0.0,0.0,0.0,0.0
78.0,0.0,65.0,0.8500000000000001,710.9650000000007,1.2057375453644017,0.6801555975401627,0.6844562812515499,195.4636687201406,196.64650008602462,0.0,0.0,0.0,0.0,0.0
79.0,0.0,66.0,0.0050000000000001155,710.9700000000007,1.2169572708911776,0.6927917692267088,0.6967167891352978,195.46459610416733,196.64743090150475,0.0,0.0,0.0,0.0,0.0
80.0,0.0,67.0,2.8049999999999997,713.7750000000007,1.2281148340847379,0.7047410439400759,0.7083908966410636,196.5663524127002,197.7528932340954,0.0,0.0,0.0,0.0,0.0
81.0,0.0,68.0,1.21,714.9850000000007,1.2392115901010143,0.7161160876930761,0.7195066503560325,196.87630293941606,198.06379204025475,0.0,0.0,0.0,0.0,0.0
82.0,0.0,69.0,0.0,714.9850000000007,1.250248843225965,0.7161160876930761,0.7300907554442219,196.87630293941606,198.06379204025475,0.0,0.0,0.0,0.0,0.0
83.0,0.0,70.0,1.375,716.3600000000007,1.2612278495604214,0.7270485013175175,0.7401686398045941,197.24782359411918,198.43962661708946,0.0,0.0,0.0,0.0,0.0
84.0,0.0,71.0,1.2849999999999997,717.6450000000007,1.2721498195235887,0.7374693400606016,0.7497645151605911,197.58997370439067,198.7854136110642,0.0,0.0,0.0,0.0,0.0
85.0,0.0,72.0,4.55,722.1950000000006,1.2830159201900406,0.747320095715998,0.7589014352278527,200.5952421726445,201.8202643152462,0.0,0.0,0.0,0.0,0.0
86.0,0.0,73.0,2.76,724.9550000000006,1.2938272774736375,0.7567148585485298,0.767601351099869,201.71579570344207,202.9510222058739,0.0,0.0,0.0,0.0,0.0
87.0,0.0,74.0,5.369999999999999,730.3250000000006,1.3045849781705199,0.7654605917273765,0.7758851639846245,206.13035654897286,207.4035177600249,0.0,0.0,0.0,0.0,0.0
88.0,0.0,75.0,2.8449999999999998,733.1700000000006,1.3152900718722105,0.773909160721942,0.7837727754189333,207.3303886044719,208.61317216231572,0.0,0.0,0.0,0.0,0.0
89.0,0.0,76.0,2.04,735.2100000000006,1.3259435727588391,0.7819701708336396,0.7912831350811041,208.02194934622153,209.30990063596272,0.0,0.0,0.0,0.0,0.0
90.0,0.0,77.0,7.045,742.2550000000006,1.3365464612816038,0.7895823405506073,0.7984342863168021,216.13380608148495,217.47867610130172,0.0,0.0,0.0,0.0,0.0
91.0,0.0,78.0,3.9000000000000004,746.1550000000005,1.3470996857427742,0.7970034728557227,0.8052434094874817,218.3859509171196,219.74536100338273,0.0,0.0,0.0,0.0,0.0
92.0,0.0,79.0,3.4350000000000005,749.5900000000005,1.3576041637808043,0.8040399078622188,0.8117268632455339,220.13835822105995,221.50820853569218,0.0,0.0,0.0,0.0,0.0
93.0,0.0,80.0,2.0,751.5900000000005,1.3680607837674803,0.8108000084953346,0.8179002238353096,220.82431101325503,222.19789741868664,0.0,0.0,0.0,0.0,0.0
94.0,0.0,81.0,0.5949999999999998,752.1850000000005,1.3784704061234216,0.8172624074871234,0.8237783225144376,220.96584542722252,222.34013244415846,0.0,0.0,0.0,0.0,0.0
95.0,0.0,82.0,2.95,755.1350000000006,1.3888338645577374,0.8233472693015484,0.8293752811853425,222.29824823828292,223.67858202977035,0.0,0.0,0.0,0.0,0.0
96.0,0.0,83.0,6.26,761.3950000000006,1.3991519672371417,0.8290803875081453,0.8347045463225627,228.8277109765803,230.235459652169,0.0,0.0,0.0,0.0,0.0
97.0,0.0,84.0,3.945,765.3400000000006,1.4094254978894147,0.834567747558687,0.8397789212773807,231.20134076274044,232.61825036670015,0.0,0.0,0.0,0.0,0.0
98.0,0.0,85.0,3.7900000000000005,769.1300000000006,1.4196552168456762,0.8397655930468688,0.8446105970373738,233.39463737192253,234.81935853490967,0.0,0.0,0.0,0.0,0.0
99.0,0.0,86.0,1.6700000000000002,770.8000000000005,1.4298418620256066,0.8447580696950869,0.8492111815147863,233.93151019937622,235.35797640041434,0.0,0.0,0.0,0.0,0.0
100.0,0.0,87.0,0.0,770.8000000000005,1.4399861498694035,0.8495749442985895,0.853591727434084,233.93151019937622,235.35797640041434,0.0,0.0,0.0,0.0,0.0
101.0,0.0,88.0,0.16999999999999993,770.9700000000005,1.4500887762199803,0.8541431628620989,0.857762758885694,233.96895722112046,235.39552107133116,0.0,0.0,0.0,0.0,0.0
102.0,0.0,89.0,3.855,774.8250000000005,1.4601504171586288,0.8584672983282144,0.8617342966097201,236.27141711888103,237.70336801127524,0.0,0.0,0.0,0.0,0.0
103.0,0.0,90.0,4.32,779.1450000000006,1.4701717297971417,0.8625853409131436,0.8655158820703799,239.2083644287372,240.64644472029877,0.0,0.0,0.0,0.0,0.0
104.0,0.0,91.0,5.105,784.2500000000006,1.4801533530291429,0.8664890535911296,0.8691166003789993,243.46492325266598,244.9109266035215,0.0,0.0,0.0,0.0,0.0
105.0,0.0,92.0,4.8100000000000005,789.0600000000005,1.4900959082431882,0.8701567364471765,0.8725451021206377,247.2013377212316,248.65363178938446,0.0,0.0,0.0,0.0,0.0
106.0,0.0,93.0,0.625,789.6850000000005,1.5000000000000007,0.8736702255160222,0.8758096241367809,247.3574334497723,248.80996183141977,0.0,0.0,0.0,0.0,0.0
107.0,0.0,94.0,4.77,794.4550000000005,1.5000000000000007,0.8769187822271404,0.8789180093140305,251.04269637672306,252.50037195589334,0.0,0.0,0.0,0.0,0.0
108.0,0.0,95.0,2.3249999999999997,796.7800000000005,1.5000000000000007,0.880165418223229,0.8818777254263331,251.96072282358858,253.41949195228318,0.0,0.0,0.0,0.0,0.0
109.0,0.0,96.0,7.065,803.8450000000006,1.5000000000000007,0.8830784459308754,0.8846958830760149,260.7041316651984,262.1727013338471,0.0,0.0,0.0,0.0,0.0
110.0,0.0,97.0,7.64,811.4850000000006,1.5000000000000007,0.8857787542619138,0.8873792527767261,270.8646987886473,272.34449839796383,0.0,0.0,0.0,0.0,0.0
111.0,0.0,98.0,6.055,817.5400000000005,1.5000000000000007,0.8883873585545198,0.8899342812193358,277.19839011751884,278.6849328194305,0.0,0.0,0.0,0.0,0.0
112.0,0.0,99.0,4.675,822.2150000000005,1.5000000000000007,0.8908754354034484,0.8923671067598549,280.757486793805,282.24767160805357,0.0,0.0,0.0,0.0,0.0
113.0,0.0,100.0,5.7700000000000005,827.9850000000005,1.5000000000000007,0.8932042819801564,0.8946835741665956,286.466606644313,287.9625679243484,0.0,0.0,0.0,0.0,0.0
114.0,0.0,101.0,1.31,829.2950000000004,1.5000000000000007,0.8955628866627767,0.8968892486620007,286.8629863300677,288.35930613601755,0.0,0.0,0.0,0.0,0.0
115.0,0.0,102.0,0.625,829.9200000000004,1.5000000000000007,0.8979991816772703,0.8989894292928713,287.0217281847341,288.5181548662719,0.0,0.0,0.0,0.0,0.0
116.0,0.0,103.0,0.9349999999999999,830.8550000000004,1.5000000000000007,0.9003466067302536,0.9009891616611209,287.2790804577303,288.7756192469884,0.0,0.0,0.0,0.0,0.0
117.0,0.0,104.0,1.905,832.7600000000003,1.5000000000000007,0.9025752893491245,0.9028932500456364,287.95909342911045,289.4557784060386,0.0,0.0,0.0,0.0,0.0
118.0,0.0,105.0,0.0,832.7600000000003,1.5000000000000007,0.9046905127402135,0.9047062689443706,287.95909342911045,289.4557784060386,0.0,0.0,0.0,0.0,0.0
119.0,0.0,106.0,0.26000000000000023,833.0200000000003,1.5000000000000007,0.9066972793834542,0.9066972793834542,288.01980324860546,289.5164882255336,0.0,0.0,0.0,0.0,0.0
120.0,0.0,107.0,1.275,834.2950000000003,1.5000000000000007,0.9086003220718204,0.9086003220718204,288.4054249100209,289.902109886949,0.0,0.0,0.0,0.0,0.0
121.0,0.0,108.0,1.34,835.6350000000003,1.5000000000000007,0.9104041141775872,0.9104041141775872,288.8182390442178,290.31492402114594,0.0,0.0,0.0,0.0,0.0
122.0,0.0,109.0,0.595,836.2300000000004,1.5000000000000007,0.9121128791527756,0.9121128791527756,288.9696642072546,290.4663491841827,0.0,0.0,0.0,0.0,0.0
123.0,0.0,110.0,2.56,838.7900000000003,1.5000000000000007,0.9137305992666929,0.9137305992666929,290.0741694512858,291.5708544282139,0.0,0.0,0.0,0.0,0.0
124.0,0.0,111.0,3.6700000000000004,842.4600000000003,1.5000000000000007,0.9152610235786124,0.9152610235786124,292.23976341541777,293.7364483923459,0.0,0.0,0.0,0.0,0.0
125.0,0.0,112.0,4.19,846.6500000000003,1.5000000000000007,0.9167076751382602,0.9167076751382602,295.09478232725206,296.5914673041802,0.0,0.0,0.0,0.0,0.0
126.0,0.0,113.0,4.09,850.7400000000004,1.5000000000000007,0.9180738574007762,0.9180738574007762,297.80952028124693,299.30620525817505,0.0,0.0,0.0,0.0,0.0
127.0,0.0,114.0,4.535,855.2750000000003,1.5000000000000007,0.9193626598360807,0.9193626598360807,301.20309508368655,302.69978006061467,0.0,0.0,0.0,0.0,0.0
128.0,0.0,115.0,3.135,858.4100000000003,1.5000000000000007,0.9205769627049498,0.9205769627049498,302.80076114041935,304.2974461173475,0.0,0.0,0.0,0.0,0.0
129.0,0.0,116.0,0.6749999999999998,859.0850000000003,1.5000000000000007,0.9217133837612909,0.9217133837612909,302.9771510432307,304.47383602015884,0.0,0.0,0.0,0.0,0.0
130.0,0.0,117.0,0.0,859.0850000000003,1.5000000000000007,0.9227866798616735,0.9227866798616735,302.9771510432307,304.47383602015884,0.0,0.0,0.0,0.0,0.0
131.0,0.0,118.0,0.0,859.0850000000003,1.5000000000000007,0.9237928857345629,0.9237928857345629,302.9771510432307,304.47383602015884,0.0,0.0,0.0,0.0,0.0
132.0,0.0,119.0,2.49,861.5750000000003,1.5000000000000007,0.9247340694148458,0.9247340694148458,304.0382743254279,305.534959302356,0.0,0.0,0.0,0.0,0.0
133.0,0.0,120.0,1.36,862.9350000000003,1.5000000000000007,0.9256121155049747,0.9256121155049747,304.4637523212342,305.96043729816233,0.0,0.0,0.0,0.0,0.0
134.0,0.0,121.0,4.95,867.8850000000003,1.5000000000000007,0.9264248011586002,0.9264248011586002,308.6021778588177,310.0988628357458,0.0,0.0,0.0,0.0,0.0
135.0,0.0,122.0,4.324999999999999,872.2100000000004,1.5000000000000007,0.9271752373294087,0.9271752373294087,311.67933130777953,313.17601628470766,0.0,0.0,0.0,0.0,0.0
136.0,0.0,123.0,7.324999999999999,879.5350000000004,1.5000000000000007,0.9278655872318482,0.9278655872318482,321.347662427068,322.8443474039961,0.0,0.0,0.0,0.0,0.0
137.0,0.0,124.0,9.575,889.1100000000005,1.5000000000000007,0.9284833901947555,0.9284833901947555,335.8120046017972,337.3086895787253,0.0,0.0,0.0,0.0,0.0
138.0,0.0,125.0,9.71,898.8200000000005,1.5000000000000007,0.9290365558351316,0.9290365558351316,350.4727144417321,351.9879961628843,0.0,0.0,0.0,0.0,0.0
139.0,0.0,126.0,7.635,906.4550000000005,1.5000000000000007,0.9295222638065644,0.9295222638065644,360.8976700813918,362.4394468646797,0.0,0.0,0.0,0.0,0.0
140.0,0.0,127.0,5.7,912.1550000000005,1.5000000000000007,0.9299572752478772,0.9299572752478772,366.5695818275247,368.13301906992615,0.0,0.0,0.0,0.0,0.0
141.0,0.0,128.0,5.654999999999999,917.8100000000005,1.5000000000000007,0.9303292149888738,0.9303292149888738,372.13588873181027,373.7277163944117,0.0,0.0,0.0,0.0,0.0
142.0,0.0,129.0,3.96,921.7700000000006,1.5000000000000007,0.9306664958621993,0.9306664958621993,374.67743015392097,376.2854880372409,0.0,0.0,0.0,0.0,0.0
143.0,0.0,130.0,3.4699999999999998,925.2400000000006,1.5000000000000007,0.930951697656529,0.930951697656529,376.6189424641577,378.2419021138902,0.0,0.0,0.0,0.0,0.0
